Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,399.049988,401.940002,396.880005,401.679993,399.696045,40575900
2022-01-04,402.239990,402.279999,393.290009,396.470001,394.511749,58027200
2022-01-05,394.739990,395.890015,384.029999,384.290009,382.391937,75739800
2022-01-06,382.420013,387.350006,380.130005,384.019989,382.123260,70814300
2022-01-07,384.029999,385.760010,378.040009,379.859985,377.983826,72652300
2022-01-10,374.820007,380.640015,369.309998,380.109985,378.232544,91770500
2022-01-11,379.359985,385.989990,377.220001,385.820007,383.914368,68295700
2022-01-12,388.459991,390.200012,385.010010,387.350006,385.436798,54576400
2022-01-13,388.769989,389.470001,376.700012,377.660004,375.794678,77994000
2022-01-14,375.070007,380.350006,374.859985,380.010010,378.133057,80121200
2022-01-18,374.040009,376.220001,369.769989,370.549988,368.719788,75450900
2022-01-19,372.149994,374.690002,366.209991,366.480011,364.669891,81791500
2022-01-20,369.790009,373.869995,361.170013,361.720001,359.933411,88610700
2022-01-21,359.470001,362.179993,351.399994,351.690002,349.952942,143388900
2022-01-24,345.910004,353.980011,334.149994,353.299988,351.554962,198685800
2022-01-25,346.670013,351.029999,341.679993,345.109985,343.405457,124398400
2022-01-26,352.910004,356.880005,340.779999,344.570007,342.868103,146559500
2022-01-27,349.399994,351.269989,340.049988,341.100006,339.415253,95255700
2022-01-28,343.029999,352.019989,337.950012,351.799988,350.062378,108167900
2022-01-31,353.200012,363.649994,351.519989,363.049988,361.256836,94326400
2022-02-01,364.429993,366.190002,359.140015,365.519989,363.714630,74433000
2022-02-02,369.760010,370.100006,364.290009,368.489990,366.669952,78777100
2022-02-03,358.529999,361.929993,352.459991,353.549988,351.803772,95384800
2022-02-04,354.079987,361.399994,351.970001,358.010010,356.241760,86318300
2022-02-07,358.619995,361.049988,353.839996,355.130005,353.375977,58198100
2022-02-08,353.959991,360.239990,352.799988,359.119995,357.346252,64720900
2022-02-09,363.760010,366.809998,362.119995,366.730011,364.918671,55766400
2022-02-10,359.519989,366.489990,356.540009,358.429993,356.659668,112468500
2022-02-11,358.429993,360.070007,345.799988,347.059998,345.345825,101569100
2022-02-14,346.489990,350.980011,343.890015,347.489990,345.773651,80254400
2022-02-15,352.910004,356.369995,351.820007,356.130005,354.371033,55128800
2022-02-16,353.820007,357.089996,350.709991,356.040009,354.281464,58947100
2022-02-17,352.739990,353.459991,345.019989,345.450012,343.743774,61801400
2022-02-18,346.410004,346.809998,339.140015,341.510010,339.823212,80001500
2022-02-22,338.489990,344.040009,334.350006,338.079987,336.410156,85967100
2022-02-23,341.320007,342.179993,329.100006,329.420013,327.792938,86215400
2022-02-24,318.839996,341.040009,318.260010,340.489990,338.808228,130614100
2022-02-25,341.309998,345.980011,337.390015,345.769989,344.062164,78842100
2022-02-28,342.510010,348.540009,341.320007,346.799988,345.087097,77515500
2022-03-01,345.750000,348.079987,338.899994,341.489990,339.803314,67407000
2022-03-02,343.079987,348.589996,340.239990,347.220001,345.505005,70609000
2022-03-03,349.929993,350.040009,340.350006,342.260010,340.569519,71089400
2022-03-04,339.839996,341.309998,334.920013,337.299988,335.634033,76936300
2022-03-07,337.290009,338.480011,324.649994,324.859985,323.255463,89933800
2022-03-08,324.049988,333.209991,319.940002,323.350006,321.752930,116153900
2022-03-09,331.750000,336.380005,329.089996,334.989990,333.335419,64723400
2022-03-10,330.820007,332.510010,326.709991,331.269989,329.633820,69362700
2022-03-11,334.320007,334.640015,323.899994,324.399994,322.797729,66228400
2022-03-14,323.130005,326.589996,317.450012,318.170013,316.598541,79802600
2022-03-15,320.880005,328.950012,319.230011,328.149994,326.529236,76471000
2022-03-16,332.170013,340.440002,328.399994,340.320007,338.639099,105243000
2022-03-17,338.369995,344.500000,337.040009,344.440002,342.738770,67810000
2022-03-18,342.739990,351.790009,341.549988,351.489990,349.753906,85446300
2022-03-21,350.200012,352.480011,345.579987,350.079987,348.781555,73799100
2022-03-22,350.589996,357.850006,350.200012,356.959991,355.636017,63345900
2022-03-23,354.010010,357.660004,351.769989,351.829987,350.525055,70615500
2022-03-24,353.799988,359.700012,351.589996,359.649994,358.316040,53555300
2022-03-25,359.589996,360.670013,354.940002,359.350006,358.017181,57584200
2022-03-28,359.339996,365.010010,358.070007,364.910004,363.556549,56833900
2022-03-29,368.899994,371.829987,366.059998,371.190002,369.813263,68073000
2022-03-30,369.279999,370.980011,365.570007,367.089996,365.728455,68757700
2022-03-31,367.239990,367.600006,361.679993,362.540009,361.195343,67011400
2022-04-01,362.809998,363.609985,358.589996,361.850006,360.507904,54527800
2022-04-04,362.709991,369.309998,362.440002,369.299988,367.930267,45950200
2022-04-05,367.809998,368.540009,359.929993,361.100006,359.760681,62738700
2022-04-06,355.649994,356.779999,350.559998,353.260010,351.949768,90077100
2022-04-07,352.239990,356.350006,348.690002,354.100006,352.786682,63777400
2022-04-08,352.320007,353.089996,348.500000,349.149994,347.855011,61956100
2022-04-11,344.809998,345.750000,340.540009,340.890015,339.625671,66107400
2022-04-12,345.760010,347.690002,338.040009,339.450012,338.191010,72790200
2022-04-13,339.799988,347.429993,339.059998,346.350006,345.065399,61367800
2022-04-14,346.440002,346.970001,338.209991,338.429993,337.174774,73519400
2022-04-18,337.350006,341.040009,335.790009,338.690002,337.433807,58560600
2022-04-19,338.029999,346.850006,336.980011,346.260010,344.975739,56515700
2022-04-20,347.089996,347.559998,339.959991,341.209991,339.944458,65500000
2022-04-21,345.190002,347.869995,333.200012,334.149994,332.910645,75801000
2022-04-22,334.309998,335.559998,324.959991,325.399994,324.193115,82562100
2022-04-25,323.730011,329.899994,322.429993,329.579987,328.357574,101755900
2022-04-26,327.470001,327.660004,316.859985,317.140015,315.963745,105819600
2022-04-27,317.239990,322.880005,315.000000,316.760010,315.585144,111204200
2022-04-28,321.850006,329.890015,317.519989,328.010010,326.793427,99450000
2022-04-29,323.700012,327.230011,312.600006,313.250000,312.088165,91977900
2022-05-02,312.829987,318.720001,309.649994,318.480011,317.298767,115511800
2022-05-03,318.500000,321.170013,315.980011,318.820007,317.637512,78185500
2022-05-04,319.309998,330.290009,313.890015,329.600006,328.377533,116083400
2022-05-05,325.170013,325.250000,309.619995,313.000000,311.839081,154607400
2022-05-06,310.950012,315.089996,305.109985,309.250000,308.102997,139572800
2022-05-09,303.480011,309.350006,295.720001,297.149994,296.047882,113387300
2022-05-10,304.510010,305.760010,296.570007,300.760010,299.644501,124124600
2022-05-11,298.440002,304.089996,290.950012,291.839996,290.757568,140326100
2022-05-12,287.450012,295.750000,284.940002,291.149994,290.070129,120910900
2022-05-13,295.720001,303.000000,294.079987,301.940002,300.820129,83684900
2022-05-16,300.149994,302.260010,297.130005,298.440002,297.333099,59190400
2022-05-17,304.450012,306.559998,300.549988,306.170013,305.034424,62715300
2022-05-18,301.540009,302.250000,289.850006,291.140015,290.060181,79477100
2022-05-19,289.290009,294.390015,287.579987,289.579987,288.505951,79920700
2022-05-20,293.130005,293.799988,280.209991,288.679993,287.609283,91764200
2022-05-23,289.750000,293.869995,287.290009,293.480011,292.391510,63648400
2022-05-24,288.130005,288.859985,282.250000,287.239990,286.174622,73491100
2022-05-25,285.709991,293.390015,285.500000,291.260010,290.179718,67144500
2022-05-26,290.440002,300.920013,290.149994,299.329987,298.219788,59462200
2022-05-27,302.540009,309.250000,302.420013,309.100006,307.953583,66985600
2022-05-31,309.070007,311.329987,304.329987,308.279999,307.136597,60968300
2022-06-01,310.470001,312.649994,303.730011,306.000000,304.865051,65341700
2022-06-02,304.850006,314.559998,303.399994,314.380005,313.213959,59291300
2022-06-03,309.029999,310.470001,304.920013,306.200012,305.064331,60914700
2022-06-06,310.750000,312.350006,305.619995,307.220001,306.080536,51785000
2022-06-07,303.809998,310.670013,302.690002,309.869995,308.720673,44900300
2022-06-08,309.049988,311.720001,306.769989,307.640015,306.498993,38342100
2022-06-09,305.910004,309.049988,299.230011,299.399994,298.289520,55900500
2022-06-10,293.649994,294.869995,288.380005,288.839996,287.768707,85963500
2022-06-13,279.750000,282.339996,274.529999,275.410004,274.388519,94442000
2022-06-14,277.660004,278.660004,273.339996,275.910004,274.886658,64697500
2022-06-15,279.420013,286.829987,276.609985,282.799988,281.751099,86051400
2022-06-16,275.589996,276.059998,269.279999,271.390015,270.383423,81910300
2022-06-17,272.179993,277.190002,270.510010,274.690002,273.671173,82703400
2022-06-21,278.750000,283.450012,278.640015,281.079987,280.575775,51633700
2022-06-22,278.519989,285.179993,277.910004,280.670013,280.166534,67472900
2022-06-23,283.209991,285.720001,280.309998,284.850006,284.339020,57457800
2022-06-24,287.739990,295.040009,287.500000,294.609985,294.081482,58422300
2022-06-27,296.000000,296.579987,291.290009,292.450012,291.925385,54151500
2022-06-28,293.000000,295.649994,283.350006,283.540009,283.031372,61609800
2022-06-29,283.399994,285.339996,280.839996,283.799988,283.290894,57302700
2022-06-30,280.750000,283.940002,275.779999,280.279999,279.777222,79313600
2022-07-01,278.950012,282.529999,277.029999,282.130005,281.623901,56675100
2022-07-05,278.309998,287.079987,276.750000,286.959991,286.445221,61829300
2022-07-06,287.350006,290.950012,285.589996,288.799988,288.281921,63194700
2022-07-07,289.630005,295.700012,289.630005,294.980011,294.450867,56620100
2022-07-08,292.079987,296.750000,291.119995,295.350006,294.820190,59895500
2022-07-11,292.880005,293.109985,288.140015,289.040009,288.521515,55273900
2022-07-12,290.320007,292.279999,284.609985,286.239990,285.726501,55797100
2022-07-13,280.600006,288.049988,280.019989,285.649994,285.137573,73939400
2022-07-14,282.989990,287.559998,279.799988,286.670013,286.155762,63741800
2022-07-15,289.730011,291.980011,288.079987,291.869995,291.346436,63818100
2022-07-18,294.720001,296.160004,288.200012,289.399994,288.880859,59519600
2022-07-19,293.109985,298.600006,291.470001,298.299988,297.764893,55172600
2022-07-20,298.730011,304.239990,297.929993,303.029999,302.486420,67769400
2022-07-21,303.500000,307.440002,300.779999,307.380005,306.828613,55049400
2022-07-22,306.429993,308.549988,300.119995,301.989990,301.448273,57127700
2022-07-25,302.019989,302.500000,298.220001,300.269989,299.731354,40582400
